OBJECTID_1,WARD,PARCEL,PID_LONG,WPD,Petition,Landmark_Name,Areas_Desi,Address,Neighborho,Full Address1,Latitude,Longitude,Timeline,Date_Desig,PID,F8,URL,ShapeSTArea,ShapeSTLength,Image,Attribution
515,5,1227,501227000,05-06-1960,15,Arlington Street Church,Exterior only (Parcel 1227),355 Boylston Street,Back Bay,355 Boylston Street Back Bay  Massachusetts ,42.3520023,-71.07152719999999,1978-04-25,4/25/1978,501227000,Yes,http://bit.ly/1hxPmFI,18020.32202,545.6051519,https://upload.wikimedia.org/wikipedia/commons/9/98/EXTERIOR_FROM_EAST_-_Arlington_Street_Church%2C_Arlington_and_Boylston_Streets%2C_Boston%2C_Suffolk_County%2C_MA_HABS_MASS%2C13-BOST%2C34-1.tif,"Robinson, Cervin [Public domain], via Wikimedia Commons."
516,7,2940,702940000,07-09-2020,20,James Blake House,Exterior & Interior (parcel 2942),210 East Cottage Street,Dorchester,210 East Cottage Street Dorchester  Massachusetts ,42.3196471,-71.0605344,1978-04-25,4/25/1978,702940000,Yes,http://bit.ly/1jYQY0u,48552.13525,935.9282408,https://upload.wikimedia.org/wikipedia/commons/4/45/Old_Blake_House%2C_Dorchester%2C_MA.jpg,"Dorchester Historical Society [Public domain], via Wikimedia Commons."
517,3,4662,304662000,03-06-0635,6,International Trust Company Building,Exterior only (parcel 4662),45 Milk Street,Boston,45 Milk Street Boston  Massachusetts ,42.3565597,-71.05757539999999,1978-04-25,4/25/1978,304662000,Yes,http://bit.ly/PYzOF9,8440.923828,378.7443723,https://upload.wikimedia.org/wikipedia/commons/6/69/International_Trust_Company_Building_Boston_Architectural_Club_year_book_1909_p.95.png,"William Gibbons Preston [Public domain], via Wikimedia Commons."
518,2,3686,203686000,02-01-0135,59,Austin Block,Exterior only (Parcel 3686),90-92 Main Street,Charlestown,90-92 Main Street Charlestown  Massachusetts ,42.373766,-71.063141,1981-01-31,1/31/1981,203686000,Yes,,1941.091309,187.4411291,,
519,20,6485,2006485000,20-18-030,73,Theodore Parker Unitarian Church,Exterior and windows,1851 Centre Street,West Roxbury,1851 Centre Street West Roxbury  Massachusetts ,42.2863087,-71.1544552,1985-04-09,4/9/1985,2006485000,Yes,http://bit.ly/1ipNCzj,24218.68457,685.8567667,https://upload.wikimedia.org/wikipedia/commons/9/95/Theodore_Parker_Church%2C_West_Roxbury_MA.jpg,"John Phelan (Own work) [CC BY 3.0 (http://creativecommons.org/licenses/by/3.0)], via Wikimedia Commons."
520,1,3615,103615000,01-07-2006,58,Trinity Neighborhood House,Exterior only (Parcel 3615),406 Meridian Street,East Boston,406 Meridian Street East Boston  Massachusetts ,42.3802642,-71.0394993,1981-06-23,6/23/1981,103615000,Yes,http://bit.ly/1qkUDpi,10762.91089,501.5573961,https://upload.wikimedia.org/wikipedia/commons/d/dc/Trinity_Neighborhood_House%2C_East_Boston_MA.jpg,"Jameslwoodward (Own work) [CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0) or GFDL (http://www.gnu.org/copyleft/fdl.html)], via Wikimedia Commons."
521,3,4580,304580000,03-08-0420,57,Proctor Building,Exterior only (Parcel 4580),100-6 Bedford Street,Boston,100-6 Bedford Street Boston  Massachusetts ,42.353397,-71.05912099999999,1983-09-27,9/27/1983,304580000,Yes,http://bit.ly/1qg9aVk,950.3339844,151.9379148,https://upload.wikimedia.org/wikipedia/commons/9/9f/Proctor_Building_-_100-106_Bedford_Street%2C_Boston%2C_MA_-_DSC05849.JPG,"Daderot (Daderot) [CC0 or CC0], via Wikimedia Commons."
522,22,3772,2203772000,22-04-015,31,Oak Square School,Exterior only (Parcel 3772),35 Nonantum Street,Brighton,35 Nonantum Street Brighton  Massachusetts ,42.3501171,-71.1688751,1979-04-10,4/10/1979,2203772000,Yes,,24871.5791,731.3469654,https://upload.wikimedia.org/wikipedia/commons/c/ce/Oak_Square_School_Boston_MA_01.jpg,"Jameslwoodward (Own work) [CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0) or GFDL (http://www.gnu.org/copyleft/fdl.html)], via Wikimedia Commons."
523,3,4406,304406000,03-06-0490,52,United Shoe Machinery Company Building,Exterior and Interior lobby (Parcel 4406),140 Federal Street,Boston,140 Federal Street Boston  Massachusetts ,42.3545211,-71.05634839999999,1983-12-20,12/20/1983,304406000,Yes,,28352.60864,691.4719901,,
524,19,2186,1902186000,19-03-905,142,"Emerald Necklace Parks - Jamaica Pond, Olmsted Park and The Riverway","Landforms, Waterbodies, Vegetation, Roadways, Structures (Exterior) (Parcels 1994, 1994-1, 1965, 318, 1585, 2186)","Riverway, Jamaicaway","Fenway, JP","Jamaica Pond, Olmsted Park and The Riverway Massachusetts ",42.3258562,-71.1148667,1989-10-24,10/24/1989,1902186000,Yes,http://bit.ly/1eogG9l,9190669.6,33960.24443,https://upload.wikimedia.org/wikipedia/commons/8/8b/OlmstedParkSign.jpg,"Originally uploaded by Boston [Public domain], via Wikimedia Commons."
