Day,High,Low,Precip,Snow
2013-01-01,37,19.9,0,0
2013-01-02,30,12,,
2013-01-03,25,7,0,0
2013-01-04,37.9,21,0,0
2013-01-05,42.1,27,0,0
2013-01-06,43,28,,
2013-01-07,39,28.9,0,0
2013-01-08,46,28,0,0
2013-01-09,46,28,,0
2013-01-10,46.9,35.1,0,0
2013-01-11,39.9,30.9,0.12,0
2013-01-12,44.1,37.9,0.01,0
2013-01-13,51.1,39.9,,0
2013-01-14,61,42.1,0,0
2013-01-15,42.1,35.1,,0
2013-01-16,36,30,0.37,3.19
2013-01-17,42.1,30,0,0
2013-01-18,30,19,0,0
2013-01-19,48.9,24.1,0,0
2013-01-20,54,28.9,0,0
2013-01-21,30,23,0.01,0.39
2013-01-22,25,15.1,,
2013-01-23,17.1,8.1,0,0
2013-01-24,21,3.9,0,0
2013-01-25,24.1,10,0.01,0.12
2013-01-26,25,12.9,0.01,0.2
2013-01-27,32,14,0,0
2013-01-28,30.9,21,0.17,0.98
2013-01-29,34,27,0.01,0.12
2013-01-30,60.1,33.1,0.06,0
2013-01-31,60.1,32,0.31,0
2013-02-01,34,23,0,0
2013-02-02,30,19,0,0
2013-02-03,27,23,0.03,0.59
2013-02-04,30.9,21.9,0,0
2013-02-05,27,21.9,0.03,0.59
2013-02-06,39.9,26.1,0.05,0.71
2013-02-07,30,18,0,0
2013-02-08,34,19.9,0.85,10.12
2013-02-09,19.9,15.1,1,14.8
2013-02-10,36,15.1,0,0
2013-02-11,45,19.9,0.2,
2013-02-12,44.1,36,0,0
2013-02-13,42.1,30,0,0
2013-02-14,42.1,32,,
2013-02-15,46.9,30,0,0
2013-02-16,37.9,32,0.01,0.12
2013-02-17,32,18,0.2,5.12
2013-02-18,33.1,16,0,0
2013-02-19,45,26.1,0.45,0
2013-02-20,43,27,0.01,0
2013-02-21,33.1,25,0,0
2013-02-22,37.9,26.1,0,0
2013-02-23,37.9,32,0.23,
2013-02-24,37.9,28.9,0.82,1.81
2013-02-25,41,28,0.01,0.2
2013-02-26,41,28.9,0,0
2013-02-27,39.9,37.9,1.37,0
2013-02-28,44.1,33.1,0,0
2013-03-01,41,34,0,0
2013-03-02,42.1,34,0,0
2013-03-03,43,33.1,,
2013-03-04,41,30.9,,
2013-03-05,43,32,,0
2013-03-06,41,35.1,0.05,
2013-03-07,37,30,0.46,2.6
2013-03-08,42.1,28,0.94,10.51
2013-03-09,37.9,30.9,0,0
2013-03-10,37,28,0,0
2013-03-11,50,35.1,0,0
2013-03-12,53.1,39,0.29,0
2013-03-13,51.1,39,,0
2013-03-14,39,23,0,0
2013-03-15,41,21,0,0
2013-03-16,39.9,30,0,0
2013-03-17,37.9,25,0,0
2013-03-18,33.1,21,0.12,0.91
2013-03-19,36,28,1.35,6.3
2013-03-20,39,26.1,0,0
2013-03-21,35.1,30,0.02,0.31
2013-03-22,39.9,28.9,0,0
2013-03-23,44.1,30,0,0
2013-03-24,48,33.1,0,0
2013-03-25,44.1,33.1,,
2013-03-26,50,34,0.05,
2013-03-27,55,36,0,0
2013-03-28,48,37.9,,0
2013-03-29,55.9,39.9,0.01,0
2013-03-30,54,39.9,0,0
