COMPNOS,NatureCode,INCIDENT_TYPE_DESCRIPTION,REPTDISTRICT,REPORTINGAREA,FROMDATE,date,WEAPONTYPE,Shooting,DOMESTIC,SHIFT,Year,Month,DAY_WEEK,UCRPART,X,Y,STREETNAME,XSTREETNAME,Latitude,Longitude
130017964,FDWEAP,32GUN,B2,276,1/9/13 14:33,2013-01-09,Firearm,No,No,Day,2013,1,Wednesday,Part Three,768744.5,2946467.08,SHAWMUT AV,,42.33250218,-71.08364636
130035534,IVPREM,32GUN,E5,686,1/17/13 18:25,2013-01-17,Firearm,No,No,First,2013,1,Thursday,Part Three,752016.07,2929137.56,IONA ST,,42.28515636,-71.14577954
130044495,FDWEAP,32GUN,B3,468,1/22/13 8:32,2013-01-22,Firearm,No,No,Day,2013,1,Tuesday,Part Three,765819.054,2927511.77,WELLINGTON HILL,,42.28052646,-71.09479858
130052938,DISTRB,32GUN,D14,751,1/26/13 4:23,2013-01-26,Firearm,No,No,Last,2013,1,Saturday,Part Three,747394.16,2951217.15,LAKE ST,,42.34579543,-71.16253723
130061859,FDWEAP,32GUN,E18,481,1/30/13 13:33,2013-01-30,Firearm,No,No,Day,2013,1,Wednesday,Part Three,765434.726,2922630.52,MARCY RD,,42.26713696,-71.09630415
130085221,THREAT,32GUN,C6,219,2/10/13 15:14,2013-02-10,Firearm,No,No,Day,2013,2,Sunday,Part Three,779097.779,2946076.86,E 8TH ST,,42.33128635,-71.04536457
130094794,INVEST,32GUN,B3,465,2/14/13 16:00,2013-02-14,Firearm,No,No,First,2013,2,Thursday,Part Three,766751.591,2929095.96,BLUE HILL AV,,42.28486136,-71.09132455
130108257,FDWEAP,32GUN,B2,315,2/21/13 16:34,2013-02-21,Firearm,No,No,First,2013,2,Thursday,Part Three,768048.99,2939721.52,WAUMBECK ST,,42.31400135,-71.08633955
130124978,SHOTS,32GUN,E18,521,3/1/13 18:25,2013-03-01,Firearm,No,No,First,2013,3,Friday,Part Three,757875.078,2917912.85,HYDE PARK AV,,42.25428606,-71.12431001
130152270,TSTOP,32GUN,A7,27,3/14/13 20:31,2013-03-14,Firearm,No,No,First,2013,3,Thursday,Part Three,780541.231,2960698.2,HAVRE ST,,42.37138634,-71.03973457
130168542,FDWEAP,32GUN,A7,12,3/22/13 12:41,2013-03-22,Firearm,No,No,Day,2013,3,Friday,Part Three,787241.913,2965150.42,WORDSWORTH ST,,42.38350134,-71.01484457
130179916,IVPER,32GUN,B2,327,3/27/13 16:40,2013-03-27,Firearm,No,No,First,2013,3,Wednesday,Part Three,771430.721,2939829.28,CUNNINGHAM ST,,42.31425135,-71.07383456
130190464,FDWEAP,32GUN,E13,607,4/1/13 11:08,2013-04-01,Firearm,No,No,Day,2013,4,Monday,Part Three,761446.041,2943419.09,EVERGREEN ST,,42.32423295,-71.11068977
130191758,FDWEAP,32GUN,E5,822,4/1/13 21:01,2013-04-01,Firearm,No,No,First,2013,4,Monday,Part Three,752472.204,2918243.37,GEORGETOWNE PL,,42.25525659,-71.14426178
130193463,IVPER,32GUN,E5,682,4/2/13 16:30,2013-04-02,Firearm,No,No,First,2013,4,Tuesday,Part Three,753865.116,2929250.26,NEWBURG ST,BELGRADE AV,42.28544433,-71.13894454
130194237,FDWEAP,32GUN,E13,577,4/2/13 22:30,2013-04-02,Firearm,No,No,First,2013,4,Tuesday,Part Three,763693.152,2940854.21,AMORY ST,,42.31716635,-71.10242455
130203516,IVPREM,32GUN,B2,317,4/7/13 0:11,2013-04-07,Firearm,No,No,Last,2013,4,Sunday,Part Three,766369.863,2938941.19,HUTCHINGS ST,,42.31188227,-71.09256145
130205718,SHOTS,32GUN,B2,183,4/8/13 4:35,2013-04-08,Firearm,No,No,Last,2013,4,Monday,Part Three,772289.982,2942145.86,LEYLAND ST,,42.32059635,-71.07061455
130217309,PERGUN,32GUN,E13,648,4/13/13 0:54,2013-04-13,Firearm,No,No,Last,2013,4,Saturday,Part Three,760212.893,2937133.88,SOUTH ST,,42.30700135,-71.11535455
130222750,FDWEAP,32GUN,B3,427,4/15/13 16:48,2013-04-15,Firearm,No,No,First,2013,4,Monday,Part Three,766194.232,2925390.76,BLUE HILL AV,,42.27470136,-71.09344955
130223212,FDWEAP,32GUN,B3,444,4/15/13 20:59,2013-04-15,Firearm,No,No,First,2013,4,Monday,Part Three,768177.11,2933455.57,ABBOT ST,,42.29680554,-71.08597831
130233344,IVPREM,32GUN,E5,720,4/20/13 16:59,2013-04-20,Firearm,No,No,First,2013,4,Saturday,Part Three,748138.928,2927006.59,LORETTE ST,,42.2793521,-71.16013911
130236689,FDWEAP,32GUN,C11,345,4/22/13 12:22,2013-04-22,Firearm,No,No,Day,2013,4,Monday,Part Three,773565.77,2935619,LONGFELLOW ST,,42.30266861,-71.06601998
130238369,FDWEAP,32GUN,A1,114,4/23/13 8:05,2013-04-23,Firearm,No,No,Day,2013,4,Tuesday,Part Three,777100.535,2954389.84,ATLANTIC AV,,42.35412634,-71.05258956
130255515,IVPER,32GUN,B2,308,4/30/13 20:55,2013-04-30,Firearm,No,No,First,2013,4,Tuesday,Part Three,767396.721,2941638.51,MARTIN LUTHER RD,,42.31927033,-71.08871696
130261919,FDWEAP,32GUN,A1,110,5/3/13 14:17,2013-05-03,Firearm,No,No,Day,2013,5,Friday,Part Three,777393.06,2955304.27,INTERNATIONAL PL,,42.35663134,-71.05148956
130265950,PERGUN,32GUN,C6,201,5/5/13 8:14,2013-05-05,Firearm,No,No,Day,2013,5,Sunday,Part Three,777310.936,2949327.21,C ST,ATHENS ST,42.34023135,-71.05190957
130269415,SSTOP,32GUN,B2,911,5/6/13 20:33,2013-05-06,Firearm,No,No,First,2013,5,Monday,Part Three,766011.267,2947348.01,ANNUNCIATION RD,,42.33495566,-71.09373917
130281332,FDWEAP,32GUN,C6,218,5/11/13 19:20,2013-05-11,Firearm,No,No,First,2013,5,Saturday,Part Three,777206.318,2943503.12,OLD COLONY AV,,42.32425135,-71.05240956
130308806,FDWEAP,32GUN,C6,222,5/23/13 13:17,2013-05-23,Firearm,No,No,Day,2013,5,Thursday,Part Three,781446.696,2947977.24,E 3RD ST,,42.33646635,-71.03663957
130318645,INVEST,32GUN,C11,393,5/27/13 23:00,2013-05-27,Firearm,No,No,First,2013,5,Monday,Part three,774144.437,2929868.7,DORCHESTER AV,DRACUT ST,42.28688136,-71.06398957
130326287,SSTOP,32GUN,C11,460,5/31/13 0:20,2013-05-31,Firearm,No,No,Last,2013,5,Friday,Part three,770182.884,2936720.72,BRINSLEY ST,,42.30573834,-71.0785049
130334017,FDWEAP,32GUN,B2,328,6/3/13 2:28,2013-06-03,Firearm,No,No,Last,2013,6,Monday,Part three,770814.994,2938277.4,INTERVALE ST,COLEUS PK,42.31000136,-71.07613956
130336990,FDWEAP,32GUN,D4,155,6/4/13 9:03,2013-06-04,Firearm,No,No,Day,2013,6,Tuesday,Part three,770139.678,2949312.52,TREMONT ST,,42.34029135,-71.07843456
130352651,IVPER,32GUN,E5,659,6/10/13 13:04,2013-06-10,Firearm,No,No,Day,2013,6,Monday,Part three,753038.202,2932386.29,BURRWOOD RD,,42.29405937,-71.1419518
130357862,FDWEAP,32GUN,A7,15,6/12/13 18:07,2013-06-12,Firearm,No,No,First,2013,6,Wednesday,Part three,787597.244,2967867.87,MCCLELLAN HY,,42.39095244,-71.01347203
130364333,FDWEAP,32GUN,E13,510,6/15/13 13:54,2013-06-15,Firearm,No,No,Day,2013,6,Saturday,Part three,762281.618,2934188.58,YALE TR,,42.29889344,-71.10775691
