the_geom,tract,left_cartodb_id,geo_id,state,county,cartodb_id,name,lsad,shape_area,shape_len,area_sqft,right_pop100_re,area_sq_mile,pop_density
0106000020E6100000010000000103000000010000000C000000355CBB9525C751C0AB57CCAFE6284540DB8F179815C751C0DB932E6F0E294540DE046C770FC751C00CAFCD583429454036EEA7E0F0C651C05C14F20A44294540C1D9559DD5C651C0651ECAA31B294540AC9C5F77BAC651C02E23FC19DE28454061BE6458C5C651C04E6F5776C1284540C9F0FDBAD3C651C09DB4E23C9C2845405BE161F4DCC651C01579A20A7F2845406BB5F3380CC751C03BBB12D3852845407E367F8637C751C069981781B1284540355CBB9525C751C0AB57CCAFE6284540,120600,109,1400000US25025120600,25,25,1,1206,Tract,476805.6683,2659.258862,2779177.05,2335,0.099689248,23422.78689
0106000020E61000000100000001030000000100000035000000C310E6CB0BC851C04B014837C2284540C999EC14ABC751C0A8F62B8029294540DD6F3E22A6C751C033BC2619392945404496E786A6C751C0FAE349B54F294540ACBD9A5775C751C0BC234AD576294540C54567CF65C751C0F3EC41AED4294540F761F0BC54C751C05949FC17082A45402C7E02D53FC751C0791D2F16862A45406151FE6321C751C0A18317B7D12A4540C06F707A17C751C0A617687BF42A45403A4B5C8B16C751C0149B938D072B4540F8D2CDA623C751C0AEC3169D2C2B45407811700514C751C01E691B64922B45403DE6B7020AC751C002BDE864A92B454035275776C1C651C0983584D9042C454059FEF95FAEC651C086799E060C2C45404F10DAAB8FC651C0429A45B6F32B4540071F80F277C651C0BEB01E12BE2B45405044910A63C651C081D729779F2B4540B9F8EF8B4BC651C0B05D7EA99F2B45405B5DF9F02CC651C05051EC82C12B4540290A4C1B0EC651C08EC83975E52B45406D1AB5A50EC651C07E09802E1A2C4540DF8F347C0BC651C0E0D034272F2C4540C0F1C952EBC551C03ECC9C83672C4540F3879F56D1C551C02016C58D5B2C4540A5D55963D0C551C0260313B70A2C45405529CDAFE6C551C0328B82DDB02B454035A66F44F7C551C093C33040A22B4540F094FC4D28C651C040CB7D737F2B454011BC245D33C651C029383734652B454031E5C3D155C651C0E25C0777672B45406F8BBE0E9CC651C06A38E5EFDE2B4540F0EEE6C3B3C651C03745B894F32B4540B471E9D2BFC651C084A55B02F02B4540F3D14E58E2C651C09F93608DB32B4540B419A2410AC751C074C5E8818F2B4540E6BDDEA815C751C082F702D0282B45401E03AE450BC751C07883961B0C2B4540E595D78008C751C06C9CF6B2ED2A4540330A76A73BC751C0EF406EBF7C2A45403193AA622AC751C00742D095082A4540763BEE9238C751C0B2BE054EB6294540E505EBC550C751C05C4574D190294540F9C61D705DC751C039C30ED76A2945409C1F779E78C751C022D86ED74B294540DEC404E275C751C018285437172945408D7C5BAE7EC751C068B1020AF5284540CAA0A41474C751C0FBC6637AC2284540019926FA7CC751C0147586E46428454074C0D7D7BAC751C0161C390F27284540BF89B393C1C751C0F390A10E2B284540C310E6CB0BC851C04B014837C2284540,981800,112,1400000US25025981800,25,25,2,9818,Tract,1920160.675,16070.70467,11806322.09,82,0.423493482,193.6275375
0106000020E610000001000000010300000001000000140000009650E04A76C551C07DD3449BE32A454072CA8C2B2EC551C0C0CAA67B9D2A454048DFC2F528C551C0443F15C5AB2A4540787C079623C551C0D825CCD3B92A454035F411BEF7C451C0361AAD14022B4540B2B6F0A0D9C451C08E72A7AAD02A4540AB7E3922DFC451C0FE6ACB9D992A454036B3FD67CDC451C0262BE2CCAF2A454042D0DC43C2C451C068DA01BB9A2A454044761E4DF5C451C09F4D9CDD5A2A4540998B4FA912C551C0F2A22ABF0C2A4540AD5872512DC551C06E7990300C2A45407DEEDAA337C551C0AB1249D40B2A454001D3473657C551C0F58F0534112A4540B82583A44FC551C06EE892AB582A4540F052B20C71C551C009C4BCC4582A454050992B4B74C551C020B9CE19512A454011DD073F71C551C0DB3CB567962A4540792837FA98C551C0191609A4C42A45409650E04A76C551C07DD3449BE32A4540,80401,10,1400000US25025080401,25,25,3,804.01,Tract,796282.2127,4894.625594,4740788.83,2710,0.17005238,15936.26625
0106000020E6100000010000000103000000010000000A00000088B3B2B5BEC551C098B9A2D11D2C454093028927BBC551C07D5B1765362C454073B55980B6C551C0916A10CB662C4540CC08BBD39DC551C0458C8E53742C45401951DBDC98C551C0B5A222895E2C4540F50D9CA38EC551C0F6E487DA362C454074F881AE7DC551C08A1F8F4DF22B454012D58E368EC551C00DD5FAB5F52B454077158FFCC1C551C04DFC0F92052C454088B3B2B5BEC551C098B9A2D11D2C4540,10403,173,1400000US25025010403,25,25,4,104.03,Tract,163428.991,1741.68648,953147.47,3003,0.034189457,87834.09475
0106000020E6100000010000000103000000010000000B00000091C5629CBFC551C0FE87FDB8FD2C4540780FA1A17FC551C041556C921F2D454008623CDA38C551C0BFEE342C462D4540867FCFD72CC551C02A92C615172D4540BF6FD8B452C551C0775664E6022D45405EFF20B072C551C09E2A5E49F22C45409C025BB56BC551C0A2E53688D62C454047725C0185C551C0D91FD3D9C92C4540BFAEB56CADC551C039671F4AB42C4540941EA051BAC551C078785796E82C454091C5629CBFC551C0FE87FDB8FD2C4540,10802,75,1400000US25025010802,25,25,5,108.02,Tract,285065.2776,2678.47017,1673329.62,3059,0.060022434,50964.2779
0106000020E610000001000000010300000001000000290000005A929E78CEC151C0CB814A404C364540E489FC6B79C151C06250069E7B374540EBF460DD78C151C0B933BA9D7D374540A43006836BC151C0E4C0ED5BAD37454049BD16105AC151C0051AC780EC374540D4C15A2558C151C041892973F3374540944755DB4DC151C0342B759318384540FDE4094CA7C151C060237A39EC384540CF488F5033C151C0472075779D394540A336C85EEFC051C03AC5DE3AFF38454004F095ECD8C051C084DE7A6CCB384540BB36E15CC3C051C0021078D498384540E2011D739EC051C0BDEE643A743845407EDFEA03C9C051C0B3FC43E048384540BB5A718FA5C051C035D65C8B1638454045612C0ABBC051C0DD6B978DCE37454098E10392B0C051C06D9899EC9F3745407CF3134372C051C0D5C1EA00883745408C8547FE60C051C0B5A55CFC6D374540B3A7C03923C051C06373EEB25F374540489436A8FDBF51C019AD13B534374540E8CF8288D4BF51C0DAAEB22B2D3745407F028EAED2BF51C0F3A8DEAD2C374540741F548CF3BF51C0986A1213D4364540130CC8073DC051C0BA2744300E3645400B761B6492C051C0190ED048843645405904D124B1C051C02814FB57563645407DDC6932E3C051C00AC7CCAD103645404A34B6D5ACC051C010692E17F135454099CF253960C051C0171546B3B235454043E1F19881C051C0E58A533A58354540ED65124889C051C010CAD73043354540139F611399C051C0F6EC0777673545407EF40967B7C051C0BE26C2A38D354540160DFEF2C9C051C097040F406A354540152153B131C151C0EBE8E3D6A4354540787EEBE236C151C0AE4EA4E194354540BC5D1EE049C151C050F91B5DA5354540B873EA03C9C151C0EA22CAA5F135454061CCCC5CE0C151C02093C610003645405A929E78CEC151C0CB814A404C364540,170300,164,1400000US25025170300,25,25,6,1703,Tract,8248958.313,16993.34389,42930593.84,9040,1.539922977,5870.423479
0106000020E6100000010000000103000000010000000E000000BFAEB56CADC551C039671F4AB42C454047725C0185C551C0D91FD3D9C92C45409C025BB56BC551C0A2E53688D62C45405EFF20B072C551C09E2A5E49F22C4540BF6FD8B452C551C0775664E6022D4540867FCFD72CC551C02A92C615172D4540B1EED59123C551C0569F6D88F12C45404A7A1E6D1CC551C0646CEFC2D62C454026FAB8A816C551C0E5629BADBC2C4540256FC4245CC551C0726441B7972C45401FE0CF807AC551C0EA698176872C4540CC08BBD39DC551C0458C8E53742C45409A706E6AA0C551C0CE2E209A792C4540BFAEB56CADC551C039671F4AB42C4540,10701,95,1400000US25025010701,25,25,7,107.01,Tract,371587.9565,2846.146661,2177562.16,2478,0.078109285,31724.78137
0106000020E61000000100000001030000000100000019000000E505EBC550C751C05C4574D190294540763BEE9238C751C0B2BE054EB62945403193AA622AC751C00742D095082A4540330A76A73BC751C0EF406EBF7C2A45402A5BF3E32FC751C0307105137F2A4540A73EE1270EC751C02CB0902FA12A454030DEF78903C751C01134CC43A62A45402F6E240C03C751C00B0F6D205D2A4540857AE63BF8C651C020297FDE542A4540A6B62DAEF1C651C0506AA300512A45406E89FE45D0C651C02A747343532A4540C93C554E7BC651C0D91C0C24282A4540C7B9990B5CC651C0D8827ABDFB2945407C2F5B4068C651C062E8A410C8294540EF598DEF8BC651C084EE70C5C5294540630BB20FB2C651C0BF63F661BD294540346BEC9DD1C651C0D2296614CB2945403FC6B20DDCC651C0C6A82DCBD729454034D788EDEEC651C0C91A658EE5294540279619DF17C751C0C52B66101F2A45405E0A5F402FC751C0E09D81EB8A294540C6DC4B512EC751C0556AF5285C29454095CCB2614DC751C0E850B01F62294540F9C61D705DC751C039C30ED76A294540E505EBC550C751C05C4574D190294540,81100,47,1400000US25025081100,25,25,8,811,Tract,896889.5735,6243.525572,5337204.78,4091,0.191445856,21368.9661
0106000020E6100000010000000103000000010000000E0000000F2C1C5F7BC251C0BC2AA19BFD2F454049F3B01A4BC251C013FCA7C821304540FFC1AF0452C251C0C8B1FA2136304540486BFDA02EC251C04A2B174850304540AED3C4C727C251C00013FDDD3B3045407A3CF99FFCC151C030ED91054C3045400F950B5EF4C151C0E3D78CBB4130454081CBED43DEC151C036FB907F663045400D227747C6C151C0DA543673483045403BE281751CC251C022612D95B72F45403379946934C251C0F9247AFEB42F45405777340F60C251C0FFE0FFC9DF2F45400E8F498270C251C041621307D02F45400F2C1C5F7BC251C0BC2AA19BFD2F4540,50700,86,1400000US25025050700,25,25,9,507,Tract,494410.5028,3423.199097,2924637.13,4504,0.104906909,42933.30181
0106000020E6100000010000000103000000010000000600000081A41C075EC251C06D66E2CB442F454002D05FCB2BC251C01E38C0779B2F45404C1409DFFBC151C00696AB915D2F45401BA63A0323C251C0DB0160E8112F4540764CD76839C251C0095C36C8242F454081A41C075EC251C06D66E2CB442F4540,50500,101,1400000US25025050500,25,25,10,505,Tract,214724.372,1859.358397,1235330,1857,0.044311361,41907.98813
