"Store","$/lb","lb sold"
"ALBANY,NY - PRICE CHOPPER",2,6701
"ALBANY,NY - PRICE CHOPPER",2.000184,5431
"ALBANY,NY - PRICE CHOPPER",2.219205,5561
"ALBANY,NY - PRICE CHOPPER",2.220486,4032
"ALBANY,NY - PRICE CHOPPER",2.2206,3631
"ALBANY,NY - PRICE CHOPPER",2.222007,3099
"ALBANY,NY - PRICE CHOPPER",2.222222,2547
"ALBANY,NY - PRICE CHOPPER",2.222257,3190
"ALBANY,NY - PRICE CHOPPER",2.222389,3332
"ALBANY,NY - PRICE CHOPPER",2.222636,2951
"ALBANY,NY - PRICE CHOPPER",2.386476,1612
"ALBANY,NY - PRICE CHOPPER",2.386649,1513
"ALBANY,NY - PRICE CHOPPER",2.561728,1944
"ALBANY,NY - PRICE CHOPPER",2.609848,792
"ALBANY,NY - PRICE CHOPPER",2.623426,794
"ALBANY,NY - PRICE CHOPPER",2.638776,980
"ALBANY,NY - PRICE CHOPPER",2.638983,590
"ALBANY,NY - PRICE CHOPPER",2.645033,755
"ALBANY,NY - PRICE CHOPPER",2.648052,770
"ALBANY,NY - PRICE CHOPPER",2.651325,717
"ALBANY,NY - PRICE CHOPPER",2.66596,943
"ALBANY,NY - PRICE CHOPPER",2.675607,783
"ALBANY,NY - PRICE CHOPPER",2.694074,3223
"ALBANY,NY - PRICE CHOPPER",2.787832,1923
"ALBANY,NY - PRICE CHOPPER",2.81051,628
"ALBANY,NY - PRICE CHOPPER",2.821454,1417
"ALBANY,NY - PRICE CHOPPER",2.824675,616
"ALBANY,NY - PRICE CHOPPER",2.843666,742
"ALBANY,NY - PRICE CHOPPER",2.846737,659
"ALBANY,NY - PRICE CHOPPER",2.85956,591
"ALBANY,NY - PRICE CHOPPER",2.864821,614
"ALBANY,NY - PRICE CHOPPER",2.883608,1031
"ALBANY,NY - PRICE CHOPPER",2.88484,686
"ALBANY,NY - PRICE CHOPPER",2.888092,697
"ALBANY,NY - PRICE CHOPPER",2.910584,548
"ALBANY,NY - PRICE CHOPPER",2.92053,604
"ALBANY,NY - PRICE CHOPPER",2.928954,746
"ALBANY,NY - PRICE CHOPPER",2.937086,604
"ALBANY,NY - PRICE CHOPPER",2.937611,561
"ALBANY,NY - PRICE CHOPPER",2.94084,524
"ALBANY,NY - PRICE CHOPPER",2.940945,508
"ALBANY,NY - PRICE CHOPPER",2.946203,632
"ALBANY,NY - PRICE CHOPPER",2.960684,585
